project;repo_file_path_reduced;refs_count
spring-projects/spring-framework;/spring-projects_spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;46
square/okhttp;/square_okhttp/okhttp/src/main/java/okhttp3/OkHttpClient.java;46
prestodb/presto;/prestodb_presto/presto-main/src/main/java/com/facebook/presto/metadata/MetadataManager.java;45
apache/ant;/apache_ant/proposal/myrmidon/src/main/org/apache/tools/ant/Project.java;44
apache/ant;/apache_ant/proposal/myrmidon/src/todo/org/apache/tools/ant/Project.java;44
apache/ant;/apache_ant/src/main/org/apache/tools/ant/ProjectHelper.java;44
apache/ant;/apache_ant/src/main/org/apache/tools/zip/ZipOutputStream.java;44
elastic/elasticsearch;/elastic_elasticsearch/core/src/main/java/org/elasticsearch/index/mapper/DocumentParser.java;44
elastic/elasticsearch;/elastic_elasticsearch/core/src/main/java/org/elasticsearch/index/shard/IndexShard.java;44
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/admin/indices/stats/IndicesStatsRequest.java;44
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/monitor/jvm/JvmStats.java;44
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/NonLatinFieldNames.java;44
spring-projects/spring-framework;/spring-projects_spring-framework/spring-tx/src/test/java/org/springframework/transaction/JtaTransactionManagerTests.java;44
square/okhttp;/square_okhttp/okio/src/main/java/okio/RealBufferedSink.java;44
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/uml/ui/foundation/core/PropPanelModelElement.java;43
diegocedrim/xerces;/diegocedrim_xerces/src/org/apache/xerces/impl/xs/traversers/XSDHandler.java;43
google/j2objc;/google_j2objc/translator/src/main/java/com/google/devtools/j2objc/gen/ObjectiveCHeaderGenerator.java;43
realm/realm-java;/realm_realm-java/realm/src/androidTest/java/io/realm/RealmAsyncQueryTests.java;43
square/okhttp;/square_okhttp/okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpEngine.java;43
alibaba/dubbo;/alibaba_dubbo/dubbo-rpc/src/main/java/com/alibaba/dubbo/rpc/RpcConstants.java;42
apache/ant;/apache_ant/proposal/sandbox/antlib/src/main/org/apache/tools/ant/Project.java;42
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/uml/diagram/ui/FigNodeModelElement.java;42
diegocedrim/argouml;/diegocedrim_argouml/src_new/org/argouml/uml/reveng/java/Modeller.java;42
elastic/elasticsearch;/elastic_elasticsearch/plugins/lang-groovy/src/test/java/org/elasticsearch/messy/tests/DoubleTermsTests.java;42
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/AllTypes.java;42
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/NoPrimaryKeyNullTypes.java;42
spring-projects/spring-framework;/spring-projects_spring-framework/spring-web/src/test/java/org/springframework/web/client/AsyncRestTemplateIntegrationTests.java;42
elastic/elasticsearch;/elastic_elasticsearch/plugins/lang-groovy/src/test/java/org/elasticsearch/messy/tests/LongTermsTests.java;41
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/admin/cluster/state/ClusterStateRequest.java;41
google/j2objc;/google_j2objc/jre_emul/android/platform/libcore/ojluni/src/main/java/java/util/Arrays.java;41
apache/ant;/apache_ant/src/main/org/apache/tools/ant/Main.java;40
junit-team/junit4;/junit-team_junit4/src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java;40
prestodb/presto;/prestodb_presto/presto-main/src/main/java/com/facebook/presto/tuple/TupleInfo.java;40
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/CyclicTypePrimaryKey.java;40
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/OwnerPrimaryKey.java;40
realm/realm-java;/realm_realm-java/realm/src/androidTest/java/io/realm/RealmJsonTest.java;40
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/Javac.java;39
elastic/elasticsearch;/elastic_elasticsearch/modules/lang-painless/src/main/java/org/elasticsearch/painless/antlr/PainlessParser.java;39
junit-team/junit4;/junit-team_junit4/src/main/java/org/junit/runners/ParentRunner.java;39
apache/ant;/apache_ant/src/main/org/apache/tools/ant/AntClassLoader.java;38
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/Checksum.java;38
diegocedrim/argouml;/diegocedrim_argouml/src/uci/uml/critics/CrUML.java;38
google/j2objc;/google_j2objc/jre_emul/apache_harmony/classlib/modules/luni/src/main/java/java/lang/Character.java;38
prestodb/presto;/prestodb_presto/presto-hive/src/test/java/com/facebook/presto/hive/AbstractTestHiveClient.java;38
prestodb/presto;/prestodb_presto/presto-main/src/main/java/com/facebook/presto/execution/SqlTaskExecution.java;38
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/AllTypesPrimaryKey.java;38
spring-projects/spring-framework;/spring-projects_spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/HttpEntityMethodProcessorMockTests.java;38
diegocedrim/xerces;/diegocedrim_xerces/src/org/apache/xerces/dom/DocumentImpl.java;37
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/count/CountRequest.java;37
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/mapper/core/DateFieldMapper.java;37
facebook/facebook-android-sdk;/facebook_facebook-android-sdk/facebook/src/com/facebook/GraphObjectWrapper.java;37
realm/realm-java;/realm_realm-java/realm/realm-library/src/androidTest/java/io/realm/RealmAsyncQueryTests.java;37
spring-projects/spring-framework;/spring-projects_spring-framework/org.springframework.core/src/main/java/org/springframework/core/convert/TypeDescriptor.java;37
apache/ant;/apache_ant/proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/exec/ExecuteOn.java;36
apache/ant;/apache_ant/proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/exec/ExecuteOn.java;36
apache/ant;/apache_ant/src/main/org/apache/tools/ant/ComponentHelper.java;36
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/action/admin/cluster/node/stats/NodesStatsRequest.java;36
google/j2objc;/google_j2objc/guava/sources/com/google/common/collect/Maps.java;36
google/j2objc;/google_j2objc/translator/src/main/java/com/google/devtools/j2objc/types/ImplementationImportCollector.java;36
realm/realm-java;/realm_realm-java/realm/realm-annotations-processor/src/test/resources/io/realm/AllTypesRealmProxy.java;36
realm/realm-java;/realm_realm-java/realm/realm-annotations-processor/src/test/resources/some/test/AllTypes.java;36
